zip,cluster,doctor_count
15342,root_Ac_Ac_Ac,1
15349,root_A,7
15367,root_Ac_Ac_A,1
15370,root_A,1
15370,root_Ac_Ac_A,6
15370,root_Ac_Ac_Ac,1
15401,root_A,5
15401,root_Ac_Ac_A,9
15401,root_Ac_Ac_Ac,1
15417,root_A,1
15425,root_A,3
15425,root_Ac_Ac_A,5
15425,root_Ac_Ac_Ac,1
15431,root_Ac_Ac_A,1
15431,root_Ac_Ac_Ac,1
15437,root_Ac_Ac_A,1
15456,root_Ac_Ac_Ac,1
15473,root_A,1
15473,root_Ac_Ac_A,1
15478,root_Ac_Ac_A,1
15478,root_Ac_Ac_Ac,1
15482,root_A,1
15482,root_Ac_Ac_A,1
15501,root_Ac_Ac_A,1
15501,root_Ac_Ac_Ac,1
15522,root_A,1
15522,root_Ac_Ac_A,1
15531,root_Ac_Ac_Ac,1
15537,root_Ac_Ac_A,1
15547,root_Ac_Ac_A,1
15547,root_Ac_Ac_Ac,1
15552,root_Ac_Ac_Ac,2
15554,root_Ac_Ac_A,2
15563,root_Ac_Ac_Ac,1
15601,root_A,5
15601,root_Ac_A,2
15601,root_Ac_Ac_A,17
15601,root_Ac_Ac_Ac,9
15626,root_A,1
15626,root_Ac_Ac_A,3
15627,root_Ac_Ac_A,1
15632,root_Ac_Ac_Ac,1
15636,root_Ac_Ac_Ac,1
15642,root_A,2
15642,root_Ac_Ac_A,10
15642,root_Ac_Ac_Ac,6
15644,root_A,1
15644,root_Ac_Ac_A,4
15644,root_Ac_Ac_Ac,2
15650,root_A,2
15650,root_Ac_A,1
15650,root_Ac_Ac_A,4
15650,root_Ac_Ac_Ac,1
15656,root_Ac_Ac_A,1
15658,root_Ac_Ac_A,1
15666,root_A,3
15666,root_Ac_A,1
15666,root_Ac_Ac_A,4
15666,root_Ac_Ac_Ac,2
15668,root_Ac_Ac_A,3
15678,root_Ac_Ac_Ac,1
15701,root_Ac_Ac_A,8
15701,root_Ac_Ac_Ac,9
15714,root_A,1
15717,root_Ac_Ac_A,1
15717,root_Ac_Ac_Ac,1
15722,root_Ac_Ac_Ac,1
15736,root_Ac_Ac_A,2
15765,root_Ac_Ac_A,1
15765,root_Ac_Ac_Ac,1
15767,root_Ac_Ac_A,5
15801,root_Ac_Ac_A,23
15801,root_Ac_Ac_Ac,4
15824,root_Ac_Ac_A,2
15824,root_Ac_Ac_Ac,1
15825,root_Ac_Ac_A,5
15834,root_Ac_Ac_A,1
15841,root_Ac_Ac_A,1
15845,root_Ac_Ac_A,1
15849,root_Ac_Ac_A,1
15851,root_Ac_Ac_A,1
15851,root_Ac_Ac_Ac,1
15853,root_Ac_Ac_A,1
15857,root_Ac_Ac_A,4
15868,root_Ac_Ac_A,1
15901,root_Ac_Ac_A,3
15901,root_Ac_Ac_Ac,2
15902,root_Ac_Ac_A,1
15904,root_A,3
15904,root_Ac_A,4
15904,root_Ac_Ac_A,8
15904,root_Ac_Ac_Ac,11
15905,root_A,1
15905,root_Ac_A,3
15905,root_Ac_Ac_A,13
15905,root_Ac_Ac_Ac,14
15909,root_Ac_Ac_A,2
15909,root_Ac_Ac_Ac,3
15931,root_A,1
15931,root_Ac_Ac_A,1
15931,root_Ac_Ac_Ac,1
15935,root_Ac_Ac_A,1
15935,root_Ac_Ac_Ac,1
15943,root_Ac_Ac_A,3
15943,root_Ac_Ac_Ac,2
15963,root_Ac_Ac_A,1
15963,root_Ac_Ac_Ac,2
16001,root_A,5
16001,root_Ac_Ac_A,19
16001,root_Ac_Ac_Ac,16
16002,root_A,2
16002,root_Ac_Ac_A,1
16003,root_A,1
16003,root_Ac_Ac_A,3
16003,root_Ac_Ac_Ac,2
16025,root_Ac_Ac_A,1
16029,root_Ac_Ac_Ac,1
16036,root_Ac_Ac_A,1
16037,root_Ac_Ac_Ac,2
16046,root_A,3
16046,root_Ac_A,1
16046,root_Ac_Ac_A,3
16046,root_Ac_Ac_Ac,2
16055,root_Ac_Ac_A,3
16055,root_Ac_Ac_Ac,1
16056,root_A,1
16056,root_Ac_Ac_A,2
16059,root_Ac_Ac_A,1
16063,root_Ac_Ac_A,2
16063,root_Ac_Ac_Ac,1
16066,root_A,4
16066,root_Ac_Ac_A,7
16066,root_Ac_Ac_Ac,4
16101,root_A,2
16101,root_Ac_A,2
16101,root_Ac_Ac_A,5
16101,root_Ac_Ac_Ac,3
16105,root_A,1
16105,root_Ac_A,2
16105,root_Ac_Ac_A,7
16105,root_Ac_Ac_Ac,5
16117,root_Ac_Ac_Ac,1
16121,root_A,1
16121,root_Ac_Ac_A,2
16121,root_Ac_Ac_Ac,1
16125,root_Ac_Ac_Ac,2
16127,root_Ac_Ac_Ac,1
16142,root_Ac_A,1
16142,root_Ac_Ac_A,4
16142,root_Ac_Ac_Ac,1
16146,root_A,3
16146,root_Ac_Ac_A,3
16146,root_Ac_Ac_Ac,2
16148,root_A,4
16148,root_Ac_A,1
16148,root_Ac_Ac_A,11
16148,root_Ac_Ac_Ac,5
16154,root_Ac_Ac_A,1
16159,root_A,1
16201,root_A,1
16201,root_Ac_Ac_A,4
16201,root_Ac_Ac_Ac,1
16214,root_A,1
16214,root_Ac_Ac_A,2
16214,root_Ac_Ac_Ac,1
16224,root_Ac_Ac_A,3
16226,root_Ac_Ac_A,1
16242,root_Ac_Ac_A,2
16301,root_Ac_Ac_A,2
16301,root_Ac_Ac_Ac,1
16316,root_Ac_Ac_A,1
16323,root_Ac_Ac_A,1
16323,root_Ac_Ac_Ac,1
16335,root_A,13
16335,root_Ac_Ac_A,6
16335,root_Ac_Ac_Ac,1
16346,root_A,1
16354,root_Ac_Ac_A,2
16354,root_Ac_Ac_Ac,1
16365,root_A,1
16365,root_Ac_Ac_A,2
16365,root_Ac_Ac_Ac,1
16371,root_Ac_Ac_Ac,1
16406,root_A,2
16412,root_Ac_Ac_A,4
16428,root_A,1
16428,root_Ac_Ac_A,2
16428,root_Ac_Ac_Ac,2
16434,root_Ac_Ac_A,3
16434,root_Ac_Ac_Ac,3
16438,root_Ac_Ac_A,3
16441,root_A,1
16501,root_A,4
16502,root_A,3
16502,root_Ac_A,2
16502,root_Ac_Ac_A,7
16502,root_Ac_Ac_Ac,3
16503,root_Ac_A,1
16503,root_Ac_Ac_A,2
16503,root_Ac_Ac_Ac,1
16504,root_A,1
16504,root_Ac_Ac_A,1
16504,root_Ac_Ac_Ac,2
16505,root_A,2
16505,root_Ac_A,2
16505,root_Ac_Ac_A,10
16505,root_Ac_Ac_Ac,6
16506,root_A,5
16506,root_Ac_A,5
16506,root_Ac_Ac_A,9
16506,root_Ac_Ac_Ac,7
16507,root_A,3
16507,root_Ac_Ac_A,3
16507,root_Ac_Ac_Ac,1
16508,root_A,3
16508,root_Ac_A,2
16508,root_Ac_Ac_A,7
16508,root_Ac_Ac_Ac,3
16509,root_A,4
